Year,Price (ACMTA),Dividends (ACMTA),Price (AIR),Dividends (AIR)
1988,8.75,0.0,24.75,6.702
1989,12.38,0.0,36.0,7.547
1990,11.88,0.0,11.5,7.651
1991,10.38,0.0,13.5,7.631
1992,10.25,0.0,11.75,7.614
1993,11.12,0.0,14.5,7.635
1994,9.25,0.0,13.38,7.65
1995,13.0,0.0,22.0,7.676
1996,14.75,0.0,30.25,7.976
1997,17.0,0.0,38.75,9.118
1998,15.25,0.0,23.88,9.375
1999,7.25,0.0,17.94,9.218
2000,7.12,0.0,12.62,9.157
2001,7.6,0.0,9.01,4.43
2002,9.0,0.0,5.15,0.797
2003,12.6,0.0,14.95,0.0
2004,12.8,0.0,13.62,0.0
2005,16.8,0.0,23.95,0.0
2006,23.75,0.0,29.19,0.0
2007,23.0,0.0,38.03,0.0
2008,24.0,0.0,18.41,0.0
2009,23.0,0.0,22.98,0.0
2010,26.0,0.0,27.47,2.983
2011,25.0,0.0,19.17,12.081
2012,22.0,0.0,18.68,12.8
2013,24.0,0.0,28.01,11.8
2014,21.0,0.0,27.78,12.5
2015,18.5,0.0,26.29,10.4
2016,21.73,0.0,33.05,10.2
2017,20.07,0.0,39.29,10.3
2018,29.0,0.0,37.34,10.5
2019,32.4,0.0,45.1,10.7
2020,34.5,0.0,36.22,0.1
2021,34.0,0.0,39.03,0.0
2022,33.0,0.0,44.9,0.0
