Year,Price (ACMTA),Dividends (ACMTA),Price (ASA),Dividends (ASA)
1988,8.75,0.0,38.0,35.438
1989,12.38,0.0,55.5,33.669
1990,11.88,0.0,46.88,33.627
1991,10.38,0.0,46.88,29.503
1992,10.25,0.0,31.88,19.547
1993,11.12,0.0,49.25,14.4
1994,9.25,0.0,44.88,19.2
1995,13.0,0.0,37.12,19.2
1996,14.75,0.0,34.75,13.44
1997,17.0,0.0,20.56,11.52
1998,15.25,0.0,15.56,7.68
1999,7.25,0.0,18.94,5.76
2000,7.12,0.0,15.31,5.76
2001,7.6,0.0,20.0,0.0
2002,9.0,0.0,40.98,0.0
2003,12.6,0.0,45.5,0.0
2004,12.8,0.0,40.45,0.0
2005,16.8,0.0,55.01,0.0
2006,23.75,0.0,64.56,0.0
2007,23.0,0.0,75.17,0.0
2008,24.0,0.0,51.0,0.0
2009,23.0,0.0,77.45,0.0
2010,26.0,0.0,34.71,0.0
2011,25.0,0.0,26.19,0.0
2012,22.0,0.0,21.53,0.0
2013,24.0,0.0,12.26,0.0
2014,21.0,0.0,10.11,0.0
2015,18.5,0.0,7.17,0.0
2016,21.73,0.0,11.04,0.0
2017,20.07,0.0,11.32,0.0
2018,29.0,0.0,9.46,0.0
2019,32.4,0.0,13.63,0.0
2020,34.5,0.0,21.87,0.0
2021,34.0,0.0,21.09,0.0
2022,33.0,0.0,14.31,0.0
