Year,Price (ACMTA),Dividends (ACMTA),Price (CECO),Dividends (CECO)
1988,8.75,0.0,0.56,0.0
1989,12.38,0.0,0.16,0.0
1990,11.88,0.0,0.12,0.0
1991,10.38,0.0,0.41,0.0
1992,10.25,0.0,3.03,0.0
1993,11.12,0.0,3.19,0.0
1994,9.25,0.0,1.88,0.0
1995,13.0,0.0,3.06,0.0
1996,14.75,0.0,2.0,0.0
1997,17.0,0.0,3.06,0.0
1998,15.25,0.0,3.0,0.0
1999,7.25,0.0,2.5,0.0
2000,7.12,0.0,1.38,0.0
2001,7.6,0.0,3.3,0.0
2002,9.0,0.0,1.85,0.0
2003,12.6,0.0,1.65,0.0
2004,12.8,0.0,3.44,0.0
2005,16.8,0.0,5.74,0.0
2006,23.75,0.0,8.97,0.0
2007,23.0,0.0,10.98,0.0
2008,24.0,0.0,2.42,0.0
2009,23.0,0.0,3.95,0.0
2010,26.0,0.0,5.96,0.0
2011,25.0,0.0,5.55,0.728
2012,22.0,0.0,9.95,2.46
2013,24.0,0.0,16.15,4.337
2014,21.0,0.0,15.54,5.937
2015,18.5,0.0,7.68,7.977
2016,21.73,0.0,13.95,8.995
2017,20.07,0.0,5.13,7.792
2018,29.0,0.0,6.75,0.0
2019,32.4,0.0,7.66,0.0
2020,34.5,0.0,6.96,0.0
2021,34.0,0.0,6.23,0.0
2022,33.0,0.0,11.68,0.0
