Year,Price (ACU),Dividends (ACU),Price (BKTI),Dividends (BKTI)
1988,6.0,0.508,1.41,0.0
1989,4.12,0.0,1.19,0.0
1990,5.25,0.524,0.75,0.072
1991,7.25,0.556,5.75,0.0
1992,5.75,0.664,5.12,0.0
1993,4.25,0.167,5.75,0.0
1994,3.25,0.0,4.88,0.0
1995,3.88,0.0,4.25,0.0
1996,5.5,0.0,3.38,0.0
1997,6.0,0.0,7.56,0.0
1998,2.25,0.0,1.53,0.0
1999,1.12,0.0,3.12,0.0
2000,2.81,0.0,0.41,0.0
2001,3.9,0.0,1.05,0.0
2002,3.76,0.0,0.49,0.0
2003,5.4,0.0,1.55,0.0
2004,15.7,0.143,2.25,0.0
2005,13.96,0.38,7.31,0.0
2006,14.41,0.429,6.0,0.0
2007,14.25,0.529,3.15,6.698
2008,7.05,0.595,0.74,0.0
2009,9.2,0.663,3.14,0.0
2010,9.52,0.656,1.8,0.0
2011,9.5,0.772,1.1,0.0
2012,11.04,1.089,1.68,0.0
2013,14.9,0.728,3.37,0.0
2014,19.99,1.064,4.8,0.0
2015,17.4,1.199,3.94,0.0
2016,25.57,1.333,4.75,2.473
2017,23.4,1.408,3.55,3.026
2018,14.25,1.485,3.75,1.083
2019,23.79,1.609,3.1,1.018
2020,30.13,1.605,3.03,1.002
2021,33.7,1.792,2.41,1.172
2022,21.9,1.903,3.32,2.029
