Year,Price (AIR),Dividends (AIR),Price (ASA),Dividends (ASA)
1988,24.75,6.702,38.0,35.438
1989,36.0,7.547,55.5,33.669
1990,11.5,7.651,46.88,33.627
1991,13.5,7.631,46.88,29.503
1992,11.75,7.614,31.88,19.547
1993,14.5,7.635,49.25,14.4
1994,13.38,7.65,44.88,19.2
1995,22.0,7.676,37.12,19.2
1996,30.25,7.976,34.75,13.44
1997,38.75,9.118,20.56,11.52
1998,23.88,9.375,15.56,7.68
1999,17.94,9.218,18.94,5.76
2000,12.62,9.157,15.31,5.76
2001,9.01,4.43,20.0,0.0
2002,5.15,0.797,40.98,0.0
2003,14.95,0.0,45.5,0.0
2004,13.62,0.0,40.45,0.0
2005,23.95,0.0,55.01,0.0
2006,29.19,0.0,64.56,0.0
2007,38.03,0.0,75.17,0.0
2008,18.41,0.0,51.0,0.0
2009,22.98,0.0,77.45,0.0
2010,27.47,2.983,34.71,0.0
2011,19.17,12.081,26.19,0.0
2012,18.68,12.8,21.53,0.0
2013,28.01,11.8,12.26,0.0
2014,27.78,12.5,10.11,0.0
2015,26.29,10.4,7.17,0.0
2016,33.05,10.2,11.04,0.0
2017,39.29,10.3,11.32,0.0
2018,37.34,10.5,9.46,0.0
2019,45.1,10.7,13.63,0.0
2020,36.22,0.1,21.87,0.0
2021,39.03,0.0,21.09,0.0
2022,44.9,0.0,14.31,0.0
