Year,Price (AIR),Dividends (AIR),Price (BKTI),Dividends (BKTI)
1988,24.75,6.702,1.41,0.0
1989,36.0,7.547,1.19,0.0
1990,11.5,7.651,0.75,0.072
1991,13.5,7.631,5.75,0.0
1992,11.75,7.614,5.12,0.0
1993,14.5,7.635,5.75,0.0
1994,13.38,7.65,4.88,0.0
1995,22.0,7.676,4.25,0.0
1996,30.25,7.976,3.38,0.0
1997,38.75,9.118,7.56,0.0
1998,23.88,9.375,1.53,0.0
1999,17.94,9.218,3.12,0.0
2000,12.62,9.157,0.41,0.0
2001,9.01,4.43,1.05,0.0
2002,5.15,0.797,0.49,0.0
2003,14.95,0.0,1.55,0.0
2004,13.62,0.0,2.25,0.0
2005,23.95,0.0,7.31,0.0
2006,29.19,0.0,6.0,0.0
2007,38.03,0.0,3.15,6.698
2008,18.41,0.0,0.74,0.0
2009,22.98,0.0,3.14,0.0
2010,27.47,2.983,1.8,0.0
2011,19.17,12.081,1.1,0.0
2012,18.68,12.8,1.68,0.0
2013,28.01,11.8,3.37,0.0
2014,27.78,12.5,4.8,0.0
2015,26.29,10.4,3.94,0.0
2016,33.05,10.2,4.75,2.473
2017,39.29,10.3,3.55,3.026
2018,37.34,10.5,3.75,1.083
2019,45.1,10.7,3.1,1.018
2020,36.22,0.1,3.03,1.002
2021,39.03,0.0,2.41,1.172
2022,44.9,0.0,3.32,2.029
