Year,Price (AIR),Dividends (AIR),Price (CECO),Dividends (CECO)
1988,24.75,6.702,0.56,0.0
1989,36.0,7.547,0.16,0.0
1990,11.5,7.651,0.12,0.0
1991,13.5,7.631,0.41,0.0
1992,11.75,7.614,3.03,0.0
1993,14.5,7.635,3.19,0.0
1994,13.38,7.65,1.88,0.0
1995,22.0,7.676,3.06,0.0
1996,30.25,7.976,2.0,0.0
1997,38.75,9.118,3.06,0.0
1998,23.88,9.375,3.0,0.0
1999,17.94,9.218,2.5,0.0
2000,12.62,9.157,1.38,0.0
2001,9.01,4.43,3.3,0.0
2002,5.15,0.797,1.85,0.0
2003,14.95,0.0,1.65,0.0
2004,13.62,0.0,3.44,0.0
2005,23.95,0.0,5.74,0.0
2006,29.19,0.0,8.97,0.0
2007,38.03,0.0,10.98,0.0
2008,18.41,0.0,2.42,0.0
2009,22.98,0.0,3.95,0.0
2010,27.47,2.983,5.96,0.0
2011,19.17,12.081,5.55,0.728
2012,18.68,12.8,9.95,2.46
2013,28.01,11.8,16.15,4.337
2014,27.78,12.5,15.54,5.937
2015,26.29,10.4,7.68,7.977
2016,33.05,10.2,13.95,8.995
2017,39.29,10.3,5.13,7.792
2018,37.34,10.5,6.75,0.0
2019,45.1,10.7,7.66,0.0
2020,36.22,0.1,6.96,0.0
2021,39.03,0.0,6.23,0.0
2022,44.9,0.0,11.68,0.0
