Year,Price (BKTI),Dividends (BKTI),Price (PRG),Dividends (PRG)
1988,1.41,0.0,10.12,0.472
1989,1.19,0.0,10.5,0.467
1990,0.75,0.072,8.88,0.443
1991,5.75,0.0,11.5,0.425
1992,5.12,0.0,9.5,0.506
1993,5.75,0.0,11.62,0.591
1994,4.88,0.0,12.0,0.709
1995,4.25,0.0,18.0,0.367
1996,3.38,0.0,11.88,0.765
1997,7.56,0.0,19.38,0.761
1998,1.53,0.0,15.12,0.801
1999,3.12,0.0,17.75,0.816
2000,0.41,0.0,14.06,0.792
2001,1.05,0.0,16.3,0.797
2002,0.49,0.0,21.88,0.798
2003,1.55,0.0,20.13,0.924
2004,2.25,0.0,25.0,2.042
2005,7.31,0.0,21.08,2.641
2006,6.0,0.0,28.78,2.909
2007,3.15,6.698,19.24,3.249
2008,0.74,0.0,26.62,3.43
2009,3.14,0.0,27.73,4.649
2010,1.8,0.0,20.39,2.929
2011,1.1,0.0,26.68,4.073
2012,1.68,0.0,28.28,5.843
2013,3.37,0.0,29.4,3.875
2014,4.8,0.0,30.57,7.823
2015,3.94,0.0,22.39,6.822
2016,4.75,2.473,31.99,7.42
2017,3.55,3.026,39.85,7.962
2018,3.75,1.083,42.05,6.243
2019,3.1,1.018,57.11,9.437
2020,3.03,1.002,53.87,13.778
2021,2.41,1.172,45.11,0.0
2022,3.32,2.029,16.89,0.0
