Year,Price (CECO),Dividends (CECO),Price (PRG),Dividends (PRG)
1988,0.56,0.0,10.12,0.472
1989,0.16,0.0,10.5,0.467
1990,0.12,0.0,8.88,0.443
1991,0.41,0.0,11.5,0.425
1992,3.03,0.0,9.5,0.506
1993,3.19,0.0,11.62,0.591
1994,1.88,0.0,12.0,0.709
1995,3.06,0.0,18.0,0.367
1996,2.0,0.0,11.88,0.765
1997,3.06,0.0,19.38,0.761
1998,3.0,0.0,15.12,0.801
1999,2.5,0.0,17.75,0.816
2000,1.38,0.0,14.06,0.792
2001,3.3,0.0,16.3,0.797
2002,1.85,0.0,21.88,0.798
2003,1.65,0.0,20.13,0.924
2004,3.44,0.0,25.0,2.042
2005,5.74,0.0,21.08,2.641
2006,8.97,0.0,28.78,2.909
2007,10.98,0.0,19.24,3.249
2008,2.42,0.0,26.62,3.43
2009,3.95,0.0,27.73,4.649
2010,5.96,0.0,20.39,2.929
2011,5.55,0.728,26.68,4.073
2012,9.95,2.46,28.28,5.843
2013,16.15,4.337,29.4,3.875
2014,15.54,5.937,30.57,7.823
2015,7.68,7.977,22.39,6.822
2016,13.95,8.995,31.99,7.42
2017,5.13,7.792,39.85,7.962
2018,6.75,0.0,42.05,6.243
2019,7.66,0.0,57.11,9.437
2020,6.96,0.0,53.87,13.778
2021,6.23,0.0,45.11,0.0
2022,11.68,0.0,16.89,0.0
